City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,houghton,47.1219,-88.569,3.95,81,84,4.6,US,1712329671
1,adamstown,-25.066,-130.1015,22.04,62,92,3.55,PN,1712329496
2,severo-yeniseyskiy,60.3725,93.0408,-3.3,98,100,1.24,RU,1712329567
3,grytviken,-54.2811,-36.5092,2.88,89,100,1.82,GS,1712329702
4,noosa heads,-26.3833,153.15,21.73,80,34,1.32,AU,1712329433
5,banda aceh,5.5577,95.3222,27.68,78,32,3.17,ID,1712329702
6,iskateley,67.6803,53.1512,-12.84,96,100,3.13,RU,1712329702
7,waitangi,-43.9535,-176.5597,10.46,86,100,0.45,NZ,1712329702
8,kalamata,37.0389,22.1142,23.39,40,20,3.09,GR,1712329703
9,ancud,-41.8697,-73.8203,13.63,74,26,0.8,CL,1712329683
10,iqaluit,63.7506,-68.5145,-9.15,85,100,3.6,CA,1712329498
11,margate,51.3813,1.3862,16.6,65,97,9.56,GB,1712329480
12,port-aux-francais,-49.35,70.2167,6.98,86,8,6.1,TF,1712329704
13,longyearbyen,78.2186,15.6401,-19.09,65,20,1.03,SJ,1712329689
14,olonkinbyen,70.9221,-8.7187,-6.64,56,100,7.83,SJ,1712329704
15,yellowknife,62.456,-114.3525,-7.55,81,76,2.68,CA,1712329704
16,jose pedro varela,-33.45,-54.5333,22.19,48,0,2.43,UY,1712329704
17,avarua,-21.2078,-159.775,24.03,100,100,2.06,CK,1712329704
18,djambala,-2.5447,14.7533,23.22,82,100,0.9,CG,1712329704
19,poronaysk,49.2167,143.1167,-0.34,78,71,2.68,RU,1712329704
20,jamestown,42.097,-79.2353,2.23,88,100,4.63,US,1712329606
21,vega de alatorre,20.0333,-96.6333,24.43,64,87,2.61,MX,1712329704
22,enniskillen,54.3461,-7.6413,10.81,94,100,4.03,GB,1712329705
23,bethel,41.3712,-73.414,7.52,62,100,5.66,US,1712329697
24,ndele,8.4109,20.6473,25.84,70,100,3.54,CF,1712329705
25,williston,48.147,-103.618,10.45,41,96,3.58,US,1712329694
26,college,64.8569,-147.8028,0.18,93,100,0.0,US,1712329546
27,thompson,55.7435,-97.8558,1.34,99,100,3.07,CA,1712329705
28,malanje,-9.5402,16.341,25.54,74,100,1.54,AO,1712329706
29,sitka,57.0531,-135.33,4.94,75,100,5.66,US,1712329706
30,puerto natales,-51.7236,-72.4875,14.25,51,75,10.8,CL,1712329706
31,pingliang,35.5392,106.6861,9.11,79,26,1.37,CN,1712329706
32,medicine hat,50.0501,-110.6683,2.07,91,100,3.6,CA,1712329502
33,nagqu,31.5,92.0,3.01,24,100,5.07,CN,1712329513
34,edinburgh of the seven seas,-37.0676,-12.3116,18.33,87,99,11.09,SH,1712329706
35,port lincoln,-34.7333,135.8667,14.11,77,13,3.97,AU,1712329706
36,port elizabeth,-33.918,25.5701,18.94,70,100,2.68,ZA,1712329551
37,cambria,35.5641,-121.0808,8.13,94,81,1.34,US,1712329706
38,budva,42.2864,18.84,22.14,74,20,2.06,ME,1712329707
39,blackmans bay,-43.0167,147.3167,11.96,90,6,0.45,AU,1712329707
40,whangarei,-35.7317,174.3239,11.72,94,32,0.81,NZ,1712329707
41,lihue,21.9789,-159.3672,21.58,86,100,7.72,US,1712329707
42,waimea,20.0231,-155.6717,15.85,92,0,4.47,US,1712329707
43,turpan,42.9333,89.1667,17.06,24,33,4.06,CN,1712329707
44,bredasdorp,-34.5322,20.0403,17.25,54,99,6.62,ZA,1712329546
45,chibougamau,49.9168,-74.3659,1.25,88,100,5.98,CA,1712329707
46,talnakh,69.4865,88.3972,-17.54,81,99,4.78,RU,1712329708
47,qaqortoq,60.7167,-46.0333,0.95,62,11,3.34,GL,1712329708
48,loreto,22.2667,-101.9667,16.72,10,2,4.52,MX,1712329556
49,hawaiian paradise park,19.5933,-154.9731,19.46,96,100,1.54,US,1712329708
50,albany,42.6001,-73.9662,4.54,72,83,4.92,US,1712329425
51,tarawa,1.419,172.984,28.05,89,40,5.14,KI,1712329708
52,mostaganem,35.9311,0.0892,22.37,52,71,4.93,DZ,1712329709
53,udachny,66.4167,112.4,-19.2,93,100,8.81,RU,1712329709
54,ribeira grande,38.5167,-28.7,15.43,72,40,12.86,PT,1712329709
55,enewetak,11.3474,162.3373,27.02,70,65,8.48,MH,1712329709
56,hasaki,35.7333,140.8333,10.22,67,100,5.76,JP,1712329709
57,mujiayingzi,42.1167,118.7833,8.81,24,0,2.97,CN,1712329522
58,teknaf,20.8624,92.3058,26.51,88,0,2.39,BD,1712329709
59,grand falls-windsor,48.9332,-55.6649,1.39,83,100,3.58,CA,1712329511
60,kodiak,57.79,-152.4072,1.73,64,20,4.63,US,1712329463
61,verdal,63.7933,11.4817,5.02,57,100,2.63,NO,1712329410
62,northam,51.0333,-4.2167,15.34,80,100,9.44,GB,1712329710
63,riohacha,11.5444,-72.9072,32.18,59,83,4.58,CO,1712329710
64,cockburn town,21.4612,-71.1419,25.73,81,11,2.43,TC,1712329710
65,tweed heads,-28.1817,153.547,22.76,99,58,2.57,AU,1712329710
66,invercargill,-46.4,168.35,9.45,88,84,2.68,NZ,1712329710
67,wailua homesteads,22.0669,-159.378,21.24,85,100,7.72,US,1712329710
68,margaret river,-33.95,115.0667,15.32,74,100,3.44,AU,1712329711
69,north platte,41.1239,-100.7654,9.1,42,0,5.81,US,1712329711
70,port alfred,-33.5906,26.891,17.88,81,100,0.45,ZA,1712329551
71,labrador city,52.9463,-66.9114,0.66,57,75,6.69,CA,1712329592
72,port saint john's,-31.6229,29.5448,19.77,85,100,4.98,ZA,1712329711
73,east london,-33.0153,27.9116,16.52,94,75,6.17,ZA,1712329711
74,vadso,70.0744,29.7487,-3.91,54,0,11.32,NO,1712329711
75,harrison,30.4091,-89.0436,21.14,39,0,2.57,US,1712329711
76,masterton,-40.9597,175.6575,8.94,71,100,0.27,NZ,1712329694
77,vorkuta,67.5,64.0,-18.71,91,100,7.11,RU,1712329612
78,bilibino,68.0546,166.4372,-24.73,98,32,1.83,RU,1712329712
79,colac,-38.3333,143.5833,14.54,92,100,3.34,AU,1712329712
80,robertsport,6.7533,-11.3686,27.91,79,25,5.29,LR,1712329654
81,rabo de peixe,37.8,-25.5833,15.73,67,40,15.95,PT,1712329712
82,whitehorse,60.7161,-135.0538,-2.05,74,100,4.92,CA,1712329690
83,davos,46.8043,9.8372,13.47,85,97,3.08,CH,1712329712
84,georgetown,5.4112,100.3354,30.97,70,20,3.13,MY,1712329594
85,martapura,-3.4167,114.85,25.05,94,40,3.6,ID,1712329712
86,morondava,-20.2833,44.2833,29.01,73,0,4.88,MG,1712329638
87,tabuk,17.4189,121.4443,23.49,71,1,2.46,PH,1712329785
